name,complexity_diss_aa_seq,complexity_diss_aa_mset,complexity_diss_ac_seq,complexity_diss_ac_mset,complexity_diss_aa_seq_std,complexity_diss_aa_mset_std,complexity_diss_ac_seq_std,complexity_diss_ac_mset_std
BPIC12 A,0.27259174041680156,0.27259174041680156,0.29065364817622374,0.29065364817622374,1.7629681100631969,1.8003216238243875,1.8131772400589012,1.8409965496380667
BPIC12 O,0.2513225185984374,0.2513225185984374,0.29566940692894894,0.29566940692894894,1.5488420815598456,1.585933140486639,1.861084993261442,1.8889436642140403
BPIC12 W,0.1638997801553803,0.1638997801553803,0.1638997801553803,0.1638997801553803,0.668721316279359,0.7047336088772028,0.6024944050221005,0.6293190084004283
BPIC13 Closed Problems,0.12975801188425004,0.07637793295254323,0.12975801188425004,0.07608524300987578,0.3250020533739931,-0.1774649144619807,0.27639111958339235,-0.21012600511102703
BPIC13 Incidents,0.25477340694732,0.25477340694732,0.25477340694732,0.25477340694732,1.583583597881647,1.6207172395760594,1.4704690225418604,1.4980067604499185
BPIC13 Open Problems,0.0,0.0,0.0,0.0,-0.9813253707575063,-0.947335544709015,-0.9629856359325011,-0.9374472428306886
BPIC17 Offer,0.017867136639046616,0.017867136639046616,0.017867136639046616,0.017867136639046616,-0.8014495369391528,-0.7672392366096654,-0.7923286297368892,-0.7666500235442766
BPIC20 Domestic Declarations,0.025239562053923168,0.025239562053923168,0.025239562053923168,0.025239562053923168,-0.7272282895420488,-0.6929270160350803,-0.7219113001378243,-0.6961748385330662
BPIC20 International Declarations,0.02745555569331627,0.02745555569331627,0.02745555569331627,0.02745555569331627,-0.7049189675911045,-0.6705903494897443,-0.7007453546431843,-0.6749915029370546
BPIC20 Prepaid Travel Cost,0.045124964997355355,0.045124964997355355,0.045124964997355355,0.045124964997355355,-0.5270337364066076,-0.49248708391111723,-0.5319769305811909,-0.5060844174576677
BPIC20 Request For Payment,0.02588107318219016,0.02588107318219016,0.02588107318219016,0.02588107318219016,-0.7207699324235052,-0.6864607428912881,-0.7157839406843817,-0.6900424447946177
CCC19,0.32112535612535614,0.32112535612535614,0.32112535612535614,0.32112535612535614,2.25157603701649,2.289528438794471,2.1042261393493162,2.132284576911875
Helpdesk,0.0808798787365081,0.0808798787365081,0.0808798787365081,0.0808798787365081,-0.16707427273528783,-0.13208641698166093,-0.19046577192293646,-0.16429267064094466
Hospital Billing,0.08523175218581461,0.08523175218581461,0.08523387313544815,0.08523387313544815,-0.12326216779759755,-0.08822061143210959,-0.14887882578117237,-0.1226715563487749
RTFM,0.02829080099661889,0.028456816554094735,0.02934047489868506,0.02934047489868506,-0.6965102086271142,-0.660497888223371,-0.6827416490127105,-0.6569730053254685
Sepsis,0.09437075901833507,0.07771130101781652,0.09536582830929809,0.0939507920326499,-0.03125601664527922,-0.16402489490291466,-0.05210399432336396,-0.03934396231596413
WABO Receipt Phase,0.0004201680672268908,0.0004201680672268908,0.0004201680672268908,0.0004201680672268908,-0.977095365527059,-0.9431003547500693,-0.958972422965,-0.9334307325769713
Berlin Parliament Gesetzgebung mb,0.02811583361109593,0.02811583361109593,0.02811583361109593,0.02811583361109593,-0.6982716774622033,-0.6639349117599085,-0.6944387451969288,-0.6686797119326396
Brandenburg Parliament Gesetzgebung mb,0.09716032722431461,0.09720546637198586,0.09961439001313871,0.09961530633610025,-0.003172282962560054,0.03247145930818102,-0.011524082966428328,0.014804797565521288
Baden Württemberg Parliament Gesetzgebung mb,0.0,0.0,0.0,0.0,-0.9813253707575063,-0.947335544709015,-0.9629856359325011,-0.9374472428306886
