,complexity_avg_raw_std,complexity_avg_norm_std,complexity_div_std,complexity_disp_std,complexity_diss_aa_seq_std,complexity_diss_aa_mset_std,complexity_diss_ac_seq_std,complexity_diss_ac_mset_std,f_score_imts,f_score_imto,f_score_imtf,f_score_imfts,f_score_imfto,f_score_imftf,precision_imts,precision_imto,precision_imtf,precision_imfts,precision_imfto,precision_imftf,fitness_imts,fitness_imto,fitness_imtf,fitness_imfts,fitness_imfto,fitness_imftf
complexity_avg_raw_std,1.0,0.3368421052631579,0.09067472700065304,-0.06860182190997455,0.07915594835766294,0.10026420125303971,0.05804769546228615,0.10026420125303971,-0.3677018878963951,-0.4842105263157895,-0.3957797417883147,-0.19466570535691505,-0.6526315789473685,-0.5329833856082637,-0.3677018878963951,-0.4842105263157895,-0.3957797417883147,-0.2467838236981868,-0.6736842105263158,-0.5435375120559522,,,,-0.12395228112361202,0.03934447376823169,-0.007291310654330118
complexity_avg_norm_std,0.3368421052631579,1.0,0.20801849135443934,0.20580546572992364,0.1424807070437933,0.10026420125303971,0.1424807070437933,0.1213724541484165,-0.29199855803537256,-0.30526315789473685,-0.4274421211313799,-0.4001461721225476,-0.24210526315789474,-0.18469721283454685,-0.29199855803537256,-0.30526315789473685,-0.4274421211313799,-0.43324271271459464,-0.2631578947368421,-0.19525133928223526,,,,-0.06562179588897106,0.023606684260939013,0.06562179588897106
complexity_div_std,0.09067472700065304,0.20801849135443934,1.0,0.700574828840639,0.6150084375318586,0.6364000353590538,0.5936168397046637,0.6364000353590538,-0.4055175020198813,-0.3466974855907322,-0.4278319565439017,-0.4055175020198813,-0.2826917959432124,-0.2246117771855484,-0.4055175020198813,-0.3466974855907322,-0.4278319565439017,-0.46128911193268457,-0.2826917959432124,-0.21391597827195086,,,,0.05911347980286302,0.007974522228289,-0.007389184975357878
complexity_disp_std,-0.06860182190997455,0.20580546572992364,0.700574828840639,1.0,0.7460317460317459,0.6825396825396826,0.7671957671957671,0.7248677248677249,-0.18975834751777035,-0.19525133928223526,-0.2328042328042328,-0.25481835238100586,-0.15303483349148167,-0.07407407407407407,-0.18975834751777035,-0.19525133928223526,-0.2328042328042328,-0.3629058834906219,-0.15303483349148167,-0.06349206349206349,,,,0.2924229755376751,0.05522779130530094,0.05117402071909315
complexity_diss_aa_seq_std,0.07915594835766294,0.1424807070437933,0.6150084375318586,0.7460317460317459,1.0,0.9365079365079364,0.9788359788359788,0.9365079365079364,-0.23313168409326068,-0.34300910954987274,-0.31746031746031744,-0.25481835238100586,-0.3007926037591192,-0.20105820105820105,-0.23313168409326068,-0.34300910954987274,-0.31746031746031744,-0.3409115875214933,-0.3007926037591192,-0.19047619047619047,,,,0.27780182676079135,0.10256589813841603,0.0950374670497444
complexity_diss_aa_mset_std,0.10026420125303971,0.10026420125303971,0.6364000353590538,0.6825396825396826,0.9365079365079364,1.0,0.9153439153439152,0.9576719576719577,-0.25481835238100586,-0.38522561534062627,-0.31746031746031744,-0.27650502066875104,-0.32190085665449597,-0.2222222222222222,-0.25481835238100586,-0.38522561534062627,-0.31746031746031744,-0.3629058834906219,-0.32190085665449597,-0.21164021164021163,,,,0.2339383804301401,0.1499040049715311,0.0950374670497444
complexity_diss_ac_seq_std,0.05804769546228615,0.1424807070437933,0.5936168397046637,0.7671957671957671,0.9788359788359788,0.9153439153439152,1.0,0.9576719576719577,-0.23313168409326068,-0.34300910954987274,-0.2962962962962963,-0.25481835238100586,-0.2796843508637424,-0.17989417989417988,-0.23313168409326068,-0.34300910954987274,-0.2962962962962963,-0.3409115875214933,-0.2796843508637424,-0.1693121693121693,,,,0.27780182676079135,0.10256589813841603,0.0950374670497444
complexity_diss_ac_mset_std,0.10026420125303971,0.1213724541484165,0.6364000353590538,0.7248677248677249,0.9365079365079364,0.9576719576719577,0.9576719576719577,1.0,-0.27650502066875104,-0.38522561534062627,-0.31746031746031744,-0.2981916889564962,-0.32190085665449597,-0.2222222222222222,-0.27650502066875104,-0.38522561534062627,-0.31746031746031744,-0.3849001794597505,-0.32190085665449597,-0.21164021164021163,,,,0.24855952920702384,0.1656833739159028,0.12427976460351192
f_score_imts,-0.3677018878963951,-0.29199855803537256,-0.4055175020198813,-0.18975834751777035,-0.23313168409326068,-0.25481835238100586,-0.23313168409326068,-0.27650502066875104,1.0,0.6164414002968976,0.7807200583588265,0.7555555555555555,0.3460723650789601,0.4445766998987762,0.9999999999999999,0.6164414002968976,0.7807200583588265,0.7606388292556648,0.3460723650789601,0.4554200340426488,,,,0.38204658872917047,0.13743685418725535,0.08240220541217404
f_score_imto,-0.4842105263157895,-0.30526315789473685,-0.3466974855907322,-0.19525133928223526,-0.34300910954987274,-0.38522561534062627,-0.34300910954987274,-0.38522561534062627,0.6164414002968976,1.0,0.6596329029805246,0.5299233090271577,0.5789473684210527,0.33245498310218435,0.6164414002968976,1.0,0.6596329029805246,0.5648607520202943,0.6000000000000001,0.34300910954987274,,,,0.0802044171976313,0.007868894753646338,0.10936965981495178
