,complexity_avg_raw_std,complexity_avg_norm_std,complexity_div_std,complexity_disp_std,complexity_diss_aa_seq_std,complexity_diss_aa_mset_std,complexity_diss_ac_seq_std,complexity_diss_ac_mset_std,f_score_imts,f_score_imto,f_score_imtf,f_score_imfts,f_score_imfto,f_score_imftf,precision_imts,precision_imto,precision_imtf,precision_imfts,precision_imfto,precision_imftf,fitness_imts,fitness_imto,fitness_imtf,fitness_imfts,fitness_imfto,fitness_imftf
complexity_avg_raw_std,,0.039762136700688226,0.5801228998886292,0.6730265812429113,0.6263145963877208,0.5373890154357488,0.7210355770169709,0.5373890154357488,0.026026074408591036,0.0023549443013355514,0.014908135230284105,0.2386464993241757,1.7153751868888245e-05,0.0010432386028218692,0.026026074408591036,0.0023549443013355514,0.014908135230284105,0.13827005201751597,7.745065863454172e-06,0.0008272228771746477,,,,0.49349268364763654,0.8298963832086543,0.9678696981482421
complexity_avg_norm_std,0.039762136700688226,,0.20439904035188938,0.20551538337161612,0.3807815946077501,0.5373890154357488,0.3807815946077501,0.4552980478071733,0.0771336684412056,0.06380788453418215,0.008554291295462594,0.015426068688275984,0.1458442183647273,0.25589459643962675,0.0771336684412056,0.06380788453418215,0.008554291295462594,0.009262866068026699,0.11260412706479736,0.2297237289085876,,,,0.7169617905927377,0.8974362407120077,0.7169617905927377
complexity_div_std,0.5801228998886292,0.20439904035188938,,1.9978254763527305e-05,0.00018096850790144526,0.00010687262117392228,0.00030154602408999576,0.00010687262117392228,0.015129961684457596,0.034413212445132284,0.009196499008347856,0.015129961684457596,0.08458180429565001,0.17148510131450156,0.015129961684457596,0.034413212445132284,0.009196499008347856,0.006110558234352078,0.08458180429565001,0.19280329470093893,,,,0.7466613924497143,0.9656442342368668,0.9677897069246485
complexity_disp_std,0.6730265812429113,0.20551538337161612,1.9978254763527305e-05,,4.661904190844788e-06,2.7930676192074175e-05,2.484860830681321e-06,8.60540836661461e-06,0.2517017342221134,0.2297237289085876,0.15298997836125902,0.12375120517952967,0.3465102430196928,0.6493268080811683,0.2517017342221134,0.2297237289085876,0.15298997836125902,0.029624545536139725,0.3465102430196928,0.6967282237511296,,,,0.10698554130342693,0.7634964482582672,0.7778813854165827
complexity_diss_aa_seq_std,0.6263145963877208,0.3807815946077501,0.00018096850790144526,4.661904190844788e-06,,8.994456523151082e-09,1.8724300484946764e-09,8.994456523151082e-09,0.1590658553838139,0.034859278581579216,0.05133078407734817,0.12375120517952967,0.06427056776357451,0.2171361368208229,0.1590658553838139,0.034859278581579216,0.05133078407734817,0.0410275323320529,0.06427056776357451,0.24231403900447246,,,,0.1256960134695203,0.5762979432439546,0.6003726111945518
complexity_diss_aa_mset_std,0.5373890154357488,0.5373890154357488,0.00010687262117392228,2.7930676192074175e-05,8.994456523151082e-09,,1.923292451737611e-08,4.137748346965278e-09,0.12375120517952967,0.01780347332864238,0.05133078407734817,0.09487688453555904,0.047687373481995046,0.17253836100627595,0.12375120517952967,0.01780347332864238,0.05133078407734817,0.029624545536139725,0.047687373481995046,0.19389726090048653,,,,0.19721971643228653,0.41409515253702944,0.6003726111945518
complexity_diss_ac_seq_std,0.7210355770169709,0.3807815946077501,0.00030154602408999576,2.484860830681321e-06,1.8724300484946764e-09,1.923292451737611e-08,,4.137748346965278e-09,0.1590658553838139,0.034859278581579216,0.06894341385992378,0.12375120517952967,0.0853501656758341,0.269477940997518,0.1590658553838139,0.034859278581579216,0.06894341385992378,0.0410275323320529,0.0853501656758341,0.298661143977058,,,,0.1256960134695203,0.5762979432439546,0.6003726111945518
complexity_diss_ac_mset_std,0.5373890154357488,0.4552980478071733,0.00010687262117392228,8.60540836661461e-06,8.994456523151082e-09,4.137748346965278e-09,4.137748346965278e-09,,0.09487688453555904,0.01780347332864238,0.05133078407734817,0.07166947555352784,0.047687373481995046,0.17253836100627595,0.09487688453555904,0.01780347332864238,0.05133078407734817,0.02106056093623067,0.047687373481995046,0.19389726090048653,,,,0.17065324789196668,0.3666970367536152,0.49330990363723193
f_score_imts,0.026026074408591036,0.0771336684412056,0.015129961684457596,0.2517017342221134,0.1590658553838139,0.12375120517952967,0.1590658553838139,0.09487688453555904,,0.0001903234204849969,2.4064408841719774e-06,7.105617053138406e-06,0.0361806167443217,0.007243366164190552,2.793254477817411e-09,0.0001903234204849969,2.4064408841719774e-06,7.280929786817305e-06,0.0361806167443217,0.005942417711450697,,,,0.038383615685443094,0.4615952967519892,0.6551429485590179
f_score_imto,0.0023549443013355514,0.06380788453418215,0.034413212445132284,0.2297237289085876,0.034859278581579216,0.01780347332864238,0.034859278581579216,0.01780347332864238,0.0001903234204849969,,4.956437411709012e-05,0.001337530897114827,0.00019531614824281216,0.040848298448452135,0.0001903234204849969,8.22063524662433e-19,4.956437411709012e-05,0.0006919786610087599,0.00010251957630002948,0.034859278581579216,,,,0.6577058711575223,0.9657279254725721,0.5457081747185151
f_score_imtf,0.014908135230284105,0.008554291295462594,0.009196499008347856,0.15298997836125902,0.05133078407734817,0.05133078407734817,0.06894341385992378,0.05133078407734817,2.4064408841719774e-06,4.956437411709012e-05,,8.497517562663989e-05,0.003863925675800149,0.0013028030103300185,2.4064408841719774e-06,4.956437411709012e-05,8.334752892104681e-10,8.79173144153617e-05,0.0025368776532450343,0.0016304438544613724,,,,0.15842009851248773,0.3666970367536152,0.6575703249266349
f_score_imfts,0.2386464993241757,0.015426068688275984,0.015129961684457596,0.12375120517952967,0.12375120517952967,0.09487688453555904,0.12375120517952967,0.07166947555352784,7.105617053138406e-06,0.001337530897114827,8.497517562663989e-05,,0.06679806847513828,0.021879597096096635,7.105617053138406e-06,0.001337530897114827,8.497517562663989e-05,1.2729793827599353e-07,0.06679806847513828,0.025950415925546165,,,,0.11330689955360164,0.5734391858409982,0.6551429485590179
f_score_imfto,1.7153751868888245e-05,0.1458442183647273,0.08458180429565001,0.3465102430196928,0.06427056776357451,0.047687373481995046,0.0853501656758341,0.047687373481995046,0.0361806167443217,0.00019531614824281216,0.003863925675800149,0.06679806847513828,,6.417954544956894e-06,0.0361806167443217,0.00019531614824281216,0.003863925675800149,0.02731919730382755,1.7181127665444849e-16,8.699351622768187e-06,,,,0.7779728326668359,0.46512300404700635,0.7779728326668359
f_score_imftf,0.0010432386028218692,0.25589459643962675,0.17148510131450156,0.6493268080811683,0.2171361368208229,0.17253836100627595,0.269477940997518,0.17253836100627595,0.007243366164190552,0.040848298448452135,0.0013028030103300185,0.021879597096096635,6.417954544956894e-06,,0.007243366164190552,0.040848298448452135,0.0013028030103300185,0.013448156464470206,6.417954544956894e-06,2.7891940037466153e-09,,,,0.545538299853531,0.7634964482582672,0.6003726111945518
precision_imts,0.026026074408591036,0.0771336684412056,0.015129961684457596,0.2517017342221134,0.1590658553838139,0.12375120517952967,0.1590658553838139,0.09487688453555904,2.793254477817411e-09,0.0001903234204849969,2.4064408841719774e-06,7.105617053138406e-06,0.0361806167443217,0.007243366164190552,,0.0001903234204849969,2.4064408841719774e-06,7.280929786817305e-06,0.0361806167443217,0.005942417711450697,,,,0.038383615685443094,0.4615952967519892,0.6551429485590179
precision_imto,0.0023549443013355514,0.06380788453418215,0.034413212445132284,0.2297237289085876,0.034859278581579216,0.01780347332864238,0.034859278581579216,0.01780347332864238,0.0001903234204849969,8.22063524662433e-19,4.956437411709012e-05,0.001337530897114827,0.00019531614824281216,0.040848298448452135,0.0001903234204849969,,4.956437411709012e-05,0.0006919786610087599,0.00010251957630002948,0.034859278581579216,,,,0.6577058711575223,0.9657279254725721,0.5457081747185151
