,complexity_avg_raw_std,complexity_avg_norm_std,complexity_div_std,complexity_disp_std,complexity_diss_aa_seq_std,complexity_diss_aa_mset_std,complexity_diss_ac_seq_std,complexity_diss_ac_mset_std,f_score_imts,f_score_imto,f_score_imtf,f_score_imfts,f_score_imfto,f_score_imftf,precision_imts,precision_imto,precision_imtf,precision_imfts,precision_imfto,precision_imftf,fitness_imts,fitness_imto,fitness_imtf,fitness_imfts,fitness_imfto,fitness_imftf
complexity_avg_raw_std,,0.5653045780702567,0.9512778226340728,0.33350643413319025,0.3314117918717672,0.3000161211026052,0.39321755113159707,0.35097013281286304,0.057600401995366465,0.0014722123858593884,0.0013768516065907808,0.1090061919963681,0.00024955106029334213,0.001378948321319858,0.0532192145095071,0.0027202761825361067,0.005028738623326937,0.057560535010662786,0.0008807132759944889,0.006239481267531618,,,,0.43354852925056653,0.8678480835800798,0.8437802356469597
complexity_avg_norm_std,0.5653045780702567,,0.5515683775622553,0.5309823672663396,0.5628357082296752,0.6378763075376466,0.5715414813039447,0.6263401654031009,0.48149548962189814,0.43547219618064514,0.25020483998460363,0.018734184707444416,0.8095172363761289,0.756941362195011,0.34136113935922974,0.2811981637859511,0.15485015695194604,0.040032142647329856,0.646005015582041,0.6267376240926316,,,,0.043048895066292184,0.3921853714321829,0.33915764462422116
complexity_div_std,0.9512778226340728,0.5515683775622553,,0.001738845587931574,0.02243574874883899,0.03127057026015918,0.023193821696561118,0.02487886486617024,0.03174969565654015,0.024242523017204066,0.018710164211884803,0.02759488255850068,0.16202700116876395,0.3159495552671112,0.027471106231420246,0.016400516734303778,0.013532038478826523,0.013079593689557807,0.16171152939991223,0.2697553958330203,,,,0.4019504476016361,0.7816910003813513,0.8056780853555855
complexity_disp_std,0.33350643413319025,0.5309823672663396,0.001738845587931574,,2.486541893232033e-05,4.325371971411238e-05,7.207747577977825e-06,1.1794896550151833e-05,0.4148280599732356,0.17198332407857625,0.3900196032770268,0.14351840637075267,0.7979085015192661,0.9237300219864941,0.3495118592183673,0.14331102246705638,0.2778752824041395,0.06815206322400906,0.7158783970742775,0.8905978708235909,,,,0.2671539838169139,0.377449855340096,0.37048411344284404
complexity_diss_aa_seq_std,0.3314117918717672,0.5628357082296752,0.02243574874883899,2.486541893232033e-05,,5.537758492523498e-18,9.738329120837329e-21,2.3466392089597035e-16,0.24624418049639502,0.005907848968834712,0.025204368058364717,0.05851640465302666,0.06676158542848427,0.1451779465187175,0.19032935481806174,0.01215850627132993,0.024663543943870783,0.020412326170562017,0.1111464274932594,0.17149655891921983,,,,0.22895741851818932,0.34430492722113926,0.33507036361877096
complexity_diss_aa_mset_std,0.3000161211026052,0.6378763075376466,0.03127057026015918,4.325371971411238e-05,5.537758492523498e-18,,5.4818707124110744e-17,2.2726746722150058e-20,0.21634588809892827,0.005837483456910845,0.029265230218804415,0.0508029927196383,0.05912840913210246,0.12250912218456009,0.1628940658043883,0.012908574708425033,0.030484956962395365,0.017307248805387376,0.1011974376910918,0.14130688067935143,,,,0.24991603339021162,0.3631679894600771,0.35760902079079426
complexity_diss_ac_seq_std,0.39321755113159707,0.5715414813039447,0.023193821696561118,7.207747577977825e-06,9.738329120837329e-21,5.4818707124110744e-17,,1.319601230597893e-18,0.23536693580984347,0.0064963871632384195,0.03166288324129474,0.05394788773450706,0.08129154159220367,0.17213722959786687,0.17928458580204254,0.012200876877228217,0.029516798078674855,0.018573203538493673,0.12510255053953143,0.19201741334121472,,,,0.23829853901060508,0.35090768392163957,0.339598760584824
complexity_diss_ac_mset_std,0.35097013281286304,0.6263401654031009,0.02487886486617024,1.1794896550151833e-05,2.3466392089597035e-16,2.2726746722150058e-20,1.319601230597893e-18,,0.19898387647003288,0.0055557169656289315,0.03170749444557203,0.040701524669982114,0.06593896358743821,0.13449329737072996,0.14555784783656003,0.01131507804923861,0.031376102885557776,0.01313318704828028,0.105401789906366,0.1473444972136701,,,,0.2539493457971636,0.3630384054193935,0.3547113964423787
f_score_imts,0.057600401995366465,0.48149548962189814,0.03174969565654015,0.4148280599732356,0.24624418049639502,0.21634588809892827,0.23536693580984347,0.19898387647003288,,0.0006640003241685734,2.279158589487244e-06,0.0014603676869227211,0.013454197797555315,0.022718925819083618,3.2757948308938144e-16,0.0003783993338612974,1.57208609925165e-06,0.0006011632074922873,0.016139123018082138,0.015986765910798558,,,,0.9365490864307202,0.6335338015030427,0.7104164190315407
f_score_imto,0.0014722123858593884,0.43547219618064514,0.024242523017204066,0.17198332407857625,0.005907848968834712,0.005837483456910845,0.0064963871632384195,0.0055557169656289315,0.0006640003241685734,,6.124327074277129e-06,0.0009795082930719363,1.0930867133957024e-05,0.007107718420089525,0.0003227467133339293,1.584387088391177e-15,1.254787190778236e-05,0.00014275976114693097,6.495304157239409e-05,0.011947100160817821,,,,0.4248977865034818,0.7286655818015461,0.8839873204514335
f_score_imtf,0.0013768516065907808,0.25020483998460363,0.018710164211884803,0.3900196032770268,0.025204368058364717,0.029265230218804415,0.03166288324129474,0.03170749444557203,2.279158589487244e-06,6.124327074277129e-06,,0.00047033378737304195,0.00029554934770841446,0.0003506845222717008,9.213714370465438e-07,1.0535120673492808e-05,9.259605956515259e-17,6.336696285466673e-05,0.0011653101321783934,0.0007533041183496932,,,,0.5438048277898562,0.8869713086490654,0.7869120825719143
f_score_imfts,0.1090061919963681,0.018734184707444416,0.02759488255850068,0.14351840637075267,0.05851640465302666,0.0508029927196383,0.05394788773450706,0.040701524669982114,0.0014603676869227211,0.0009795082930719363,0.00047033378737304195,,0.016135030462738453,0.015801542854342897,0.00017179653589354893,0.0006108125377580888,0.0001553791577534964,3.339211417193566e-12,0.02083244421242479,0.014290434617819736,,,,0.26567358508855,0.6065693115978656,0.6835926801645045
f_score_imfto,0.00024955106029334213,0.8095172363761289,0.16202700116876395,0.7979085015192661,0.06676158542848427,0.05912840913210246,0.08129154159220367,0.06593896358743821,0.013454197797555315,1.0930867133957024e-05,0.00029554934770841446,0.016135030462738453,,3.777904720524088e-07,0.013180139092478529,9.079726951732204e-05,0.0010952494864001673,0.006484236087346211,2.6687665357090667e-14,1.7388519147589865e-06,,,,0.4215552997761158,0.8394171226317448,0.9566911099943898
