name,precision_imts,fitness_imts,f_score_imts,precision_imto,fitness_imto,f_score_imto,precision_imtf,fitness_imtf,f_score_imtf,precision_imfts,fitness_imfts,f_score_imfts,precision_imfto,fitness_imfto,f_score_imfto,precision_imftf,fitness_imftf,f_score_imftf
BPIC12 A,0.37435774057420346,1.0,0.5447748130232782,0.1404425549043835,1.0,0.24629483405441396,0.37435774057420346,1.0,0.5447748130232782,0.5330778984508517,1.0,0.695434849056943,0.2661841649870722,1.0,0.42045094599613786,0.5330778984508517,1.0,0.695434849056943
BPIC12 O,0.7037037037037037,1.0,0.8260869565217391,0.4042553191489362,1.0,0.5757575757575758,0.7037037037037037,1.0,0.8260869565217391,0.7037037037037037,1.0,0.8260869565217391,0.6333333333333333,1.0,0.7755102040816326,0.7037037037037037,1.0,0.8260869565217391
BPIC12 W,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BPIC13 Closed Problems,0.9991617067650264,1.0,0.999580677624958,0.6534181240063592,1.0,0.7903846153846154,0.6534181240063592,1.0,0.7903846153846154,0.9991617067650264,1.0,0.999580677624958,0.7649101999322263,0.9948316567246939,0.8648505785840951,0.9991147504702889,0.9956745066234117,0.9973916619984584
BPIC13 Incidents,0.8,1.0,0.888888888888889,0.6303030303030304,1.0,0.7732342007434945,0.6303030303030304,1.0,0.7732342007434945,0.8,1.0,0.888888888888889,0.6303030303030304,1.0,0.7732342007434945,0.6303030303030304,1.0,0.7732342007434945
BPIC13 Open Problems,0.699506331830865,1.0,0.8231876736549634,0.699506331830865,1.0,0.8231876736549634,0.699506331830865,1.0,0.8231876736549634,0.699506331830865,0.7902084125169654,0.7420961497747942,0.699506331830865,1.0,0.8231876736549634,0.699506331830865,1.0,0.8231876736549634
BPIC17 Offer,0.9244619419709801,1.0,0.9607484791558643,0.9244619419709801,1.0,0.9607484791558643,0.9244619419709801,1.0,0.9607484791558643,0.9244619419709801,1.0,0.9607484791558643,0.9244619419709801,1.0,0.9607484791558643,0.9244619419709801,1.0,0.9607484791558643
BPIC20 Domestic Declarations,1.0,1.0,1.0,0.9426150060889231,1.0,0.9704599245186465,0.9426150060889231,1.0,0.9704599245186465,1.0,1.0,1.0,0.4484403402893914,1.0,0.6192044336459107,0.4484403402893914,1.0,0.6192044336459107
BPIC20 International Declarations,0.39423370784188794,1.0,0.5655202648229126,0.3824003778381828,1.0,0.5532411361695169,0.3824003778381828,1.0,0.5532411361695169,0.6737958878770631,0.9995133030499675,0.804953390712425,0.3901834201485094,0.901417753090662,0.5446236333177592,0.3901834201485094,0.901417753090662,0.5446236333177592
BPIC20 Prepaid Travel Cost,1.0,1.0,1.0,0.9223956769738817,1.0,0.9596314515499336,0.9771417213277679,1.0,0.9884387252437922,1.0,1.0,1.0,0.42894393741851367,1.0,0.6003649635036495,0.44347923765304975,1.0,0.6144587689035305
BPIC20 Request For Payment,1.0,1.0,1.0,0.9445130378697134,1.0,0.9714648546707229,0.9445130378697134,1.0,0.9714648546707229,1.0,1.0,1.0,0.4486564402659151,1.0,0.6194104106334002,0.4486564402659151,1.0,0.6194104106334002
CCC19,0.6159420289855073,1.0,0.7623318385650225,0.04406428201140489,1.0,0.08440913604766635,0.1724137931034483,1.0,0.29411764705882354,0.6159420289855073,1.0,0.7623318385650225,0.0625,1.0,0.11764705882352941,0.13051470588235292,1.0,0.23089430894308943
Helpdesk,0.6453092599962298,1.0,0.7844230573378145,0.45740542787576455,1.0,0.6276982631284062,0.5483870967741935,1.0,0.7083333333333333,0.6092792169270318,0.9999396536117313,0.7571902868910182,0.5174152691450686,0.9982691423726171,0.6815662852436977,0.5779773489342743,0.9999396536117313,0.7325384911326026
Hospital Billing,0.9250279250804128,1.0,0.9610540325452913,0.21480735921048744,1.0,0.35364843253846,0.9250279250804128,1.0,0.9610540325452913,0.9250279250804128,1.0,0.9610540325452913,0.30916131281229653,1.0,0.4723043826404655,0.8264429860541427,0.9675248680329345,0.8914364203317178
